Combination,NDRindex,ARI-hclust,ARI-kmeans,ARI-spectral
log_normalization+diffmap,0.8474448073009739,0.5351913840483771,0.2181514189777858,0.9171333025636116
log_normalization+pca,0.9997363799300223,0.5247779279687655,0.3968605693838304,0.9348225475443638
log_normalization+tsne,0.6213731093814561,0.46410789971785604,0.3116971101330833,0.21684089820734256
log_normalization+umap,0.553511495600777,0.2324858508204994,0.20204639930485424,0.31996615944142115
scale+diffmap,0.9450565695059993,-0.001231843652181031,-0.00039582598201614823,0.043665299007844986
scale+pca,0.9896895819567536,0.16707462210551263,0.22487350155943744,0.912216299893725
scale+tsne,0.6105543963588149,0.23382602071481426,0.28367407171255266,0.22557818681795894
scale+umap,0.5452889764700195,-0.001638926029520317,-0.0016459887750716995,-0.0006885002566349905
seurat+diffmap,0.7554619618744681,-0.03525777558823983,0.1855243162599251,0.6555549398920558
seurat+pca,0.999745365056879,0.4650035502338913,0.5416865599402642,0.42858380121511613
seurat+tsne,0.5950172912173759,0.4690610398740478,0.41248595726815135,0.11656774529733982
seurat+umap,0.5703260123094595,0.5342660833360886,0.38961891428915524,0.8334426334879779
tmm+diffmap,0.6773656948109857,0.4216172462224096,0.17009458611789455,0.7312875480050749
tmm+pca,0.9928340206028891,0.2262220040178176,0.17401951153358192,0.9235055002061263
tmm+tsne,0.5781729805008731,0.47700444896895855,0.32736301402391066,0.3259850588250624
tmm+umap,0.5497693140636555,0.4463165945096534,0.34676004768365587,0.7749739088118139
